fiscalYear,relId,periodId,grantId,metric,size,CIK,participantid,grantDate,startDate,endDate,companyName,percentVest,value,currentCEO,Detail_cleaned,AwardType_x,AwardType_y,awardType,outcome,payoutStructure
2006,55510,1.0,32,Other,1332500.0,884887,33184.0,2006-01-01,2006-01-01,2007-01-01,Royal Caribbean Cruises LTD,1.0,1332500.0,1.0,,cashShort,cashShort,Cash Award,,
2007,43385,1.0,51,,999994.0,1134538,155360.0,2007-01-01,2006-09-01,2009-09-01,Accenture LTD,0.25,3999976.0,1.0,,rsu,rsu,Stock Award,,
2006,45143,1.0,1591,,30468.75,895663,97085.0,2006-01-01,2006-01-01,2007-01-01,Global Industries LTD,0.25,121875.0,1.0,,cashShort,cashShort,Cash Award,,
2006,89176,1.0,1594,,164600.0,895663,97085.0,2006-11-01,2006-01-01,2009-01-01,Global Industries LTD,0.5,329200.0,1.0,,rsu,rsu,Stock Award,,
2006,63585,1.0,1852,Vague,291150.0,48039,2256.0,2006-02-16,2005-12-16,2006-12-16,Hollyfrontier Corporation,0.5,582300.0,1.0,,cashShort,cashShort,Cash Award,,
2006,43165,1.0,2009,ROIC,388500.0,879933,5011340.0,2006-02-02,2006-01-02,2007-01-02,Ipsco INC,1.0,388500.0,1.0,,cashShort,cashShort,Cash Award,,
2006,90243,1.0,2011,ROIC,2062695.0,879933,5011340.0,2006-07-29,2006-06-29,2009-06-29,Ipsco INC,1.0,2062695.0,1.0,,rsu,rsu,Stock Award,,
2007,56389,1.0,2751,ROIC,345000.0,775158,2533.0,2007-09-17,2007-09-17,2008-09-17,Oshkosh Corporation,0.3,1150000.0,1.0,,cashShort,cashShort,Cash Award,,
2007,89494,1.0,2924,,493971.5,78460,21331.0,2006-12-15,2006-10-15,2009-10-15,Piedmont Natural Gas CO INC,0.5,987943.0,1.0,,rsu,rsu,Stock Award,,
2007,43510,1.0,3849,,764640.0,1096385,5260.0,2007-01-01,2007-01-01,2010-01-01,Vectren Corporation,0.5,1529280.0,1.0,,rsu,rsu,Stock Award,,
2007,20942,1.0,4978,,0.0,1128928,43848.0,2007-02-05,2007-01-05,2009-01-05,Flowers Foods INC,0.0,1255653.0,1.0,,rsu,rsu,Stock Award,,
2007,64456,1.0,5770,Other,900.0,7332,15830.0,2007-01-01,2007-01-01,2010-01-01,Southwestern Energy Company,1.0,900.0,1.0,,unitCash,unitCash,Cash Award,,
2007,64457,1.0,5770,,900.0,7332,15830.0,2007-01-01,2007-01-01,2010-01-01,Southwestern Energy Company,1.0,900.0,1.0,,unitCash,unitCash,Cash Award,,
2007,89883,1.0,6444,Sales,1250000.0,801351,40809.0,2007-03-07,2007-01-07,2008-01-07,Warnaco Group INC /DE,1.0,1250000.0,1.0,,cashShort,cashShort,Cash Award,,
2007,89886,1.0,6444,Earnings,1250000.0,801351,40809.0,2007-03-07,2007-01-07,2008-01-07,Warnaco Group INC /DE,1.0,1250000.0,1.0,,cashShort,cashShort,Cash Award,,
2007,89887,1.0,6444,EPS,1250000.0,801351,40809.0,2007-03-07,2007-01-07,2008-01-07,Warnaco Group INC /DE,1.0,1250000.0,1.0,,cashShort,cashShort,Cash Award,,
2007,13325,1.0,6764,,845070.0,874016,118166.0,2007-03-27,2006-12-27,2009-12-27,Jones Group INC,0.5,1690140.0,1.0,,rsu,rsu,Stock Award,,
2007,55338,1.0,7022,ROIC,162000.0,1042893,9237.0,2007-03-06,2006-10-06,2007-10-06,Dril-quip INC,0.5,324000.0,1.0,,cashShort,cashShort,Cash Award,,
2007,55339,1.0,7027,ROIC,162000.0,1042893,9333.0,2007-03-06,2006-10-06,2007-10-06,Dril-quip INC,0.5,324000.0,1.0,,cashShort,cashShort,Cash Award,,
2007,35553,1.0,7312,Profit Margin,240000.0,1079023,55902.0,2007-01-01,2007-01-01,2008-01-01,Varian Semiconductor Equipment Associates INC,0.4,600000.0,1.0,,cashShort,cashShort,Cash Award,,
2007,82762,1.0,7432,Cashflow,,1082554,21469.0,2007-01-01,2007-01-01,2008-01-01,United Therapeutics CORP,,600000.0,1.0,,cashShort,cashShort,Cash Award,,
2007,82763,1.0,7432,EBITDA,,1082554,21469.0,2007-01-01,2007-01-01,2008-01-01,United Therapeutics CORP,,600000.0,1.0,,cashShort,cashShort,Cash Award,,
2007,82874,1.0,7440,Cashflow,75000.0,1082554,21469.0,2007-01-01,2007-01-01,2007-07-01,United Therapeutics CORP,0.125,600000.0,1.0,,cashShort,cashShort,Cash Award,,
2007,82875,1.0,7440,EBITDA,75000.0,1082554,21469.0,2007-01-01,2007-07-01,2008-01-01,United Therapeutics CORP,0.125,600000.0,1.0,,cashShort,cashShort,Cash Award,,
2007,37975,1.0,8207,,546960.0,1168335,27143.0,2007-02-06,2007-01-06,2010-01-06,Advanced Medical Optics INC,1.0,546960.0,1.0,,rsu,rsu,Stock Award,,
2007,37796,1.0,9676,,121950.0,895663,97085.0,2007-01-01,2007-01-01,2008-01-01,Global Industries LTD,0.25,487800.0,1.0,,cashShort,cashShort,Cash Award,,
2007,89332,1.0,9679,,571200.0,895663,97085.0,2007-03-08,2007-01-08,2010-01-08,Global Industries LTD,0.5,1142400.0,1.0,,rsu,rsu,Stock Award,,
2007,84448,1.0,9831,,10836383.0,1339947,6205.0,2007-01-01,2006-09-01,2010-01-01,Viacom INC,1.0,10836383.0,1.0,,rsu,rsu,Stock Award,,
2007,107653,1.0,12482,,121621.5,1298675,8728.0,2007-03-22,2006-12-22,2007-12-22,Cubesmart,0.5,243243.0,1.0,,rsu,rsu,Stock Award,,
2007,107653,2.0,12482,,121621.5,1298675,8728.0,2007-03-22,2007-12-22,2008-12-22,Cubesmart,0.5,243243.0,1.0,,rsu,rsu,Stock Award,,
2007,107653,3.0,12482,,121621.5,1298675,8728.0,2007-03-22,2008-12-22,2009-12-22,Cubesmart,0.5,243243.0,1.0,,rsu,rsu,Stock Award,,
2007,76917,1.0,19000,Other,324000.0,26058,120955.0,2007-01-01,2007-01-01,2008-01-01,Cts Corporation,1.0,324000.0,1.0,,cashShort,cashShort,Cash Award,,
2007,101421,1.0,19014,,22658.4,26058,120955.0,2008-02-05,2007-01-05,2010-01-05,Cts Corporation,0.6,37764.0,1.0,,rsu,rsu,Stock Award,,
1998,22682,1.0,31214,ROE,0.0,717809,5056486.0,1998-01-01,1998-01-01,2001-01-01,Keystone Financial INC,0.0,310000.0,1.0,,unitCash,unitCash,Cash Award,,
2000,30072,1.0,36193,Earnings,178107.1875,75362,1099.0,2000-01-01,2000-01-01,2003-01-01,Paccar INC,0.3333,534375.0,1.0,,cashLong,cashLong,Cash Award,,
2000,30073,1.0,36193,Other,178107.1875,75362,1099.0,2000-01-01,2000-01-01,2003-01-01,Paccar INC,0.3333,534375.0,1.0,,cashLong,cashLong,Cash Award,,
2000,30074,1.0,36193,ROIC,178107.1875,75362,1099.0,2000-01-01,2000-01-01,2003-01-01,Paccar INC,0.3333,534375.0,1.0,,cashLong,cashLong,Cash Award,,
2006,89455,1.0,36698,,-4999.5,78460,21331.0,2005-12-16,2005-10-16,2008-10-16,Piedmont Natural Gas CO INC,0.5,-9999.0,1.0,,rsu,rsu,Stock Award,,
2007,79029,1.0,44601,,971342.856,831001,115102.0,2007-07-17,2007-06-17,2007-12-17,Citigroup INC,0.3333,2914320.0,1.0,,rsu,rsu,Stock Award,,
2007,79029,2.0,44601,,971342.856,831001,115102.0,2007-07-17,2007-12-17,2008-12-17,Citigroup INC,0.3333,2914320.0,1.0,,rsu,rsu,Stock Award,,
2007,79029,3.0,44601,,971634.288,831001,115102.0,2007-07-17,2008-12-17,2009-12-17,Citigroup INC,0.3334,2914320.0,1.0,,rsu,rsu,Stock Award,,
2008,70717,1.0,44816,,319999.0,921082,17145.0,2008-03-03,2008-01-03,2011-01-03,Highwoods Properties INC,1.0,319999.0,1.0,,rsu,rsu,Stock Award,,
2007,55296,1.0,48563,ROIC,162000.0,1042893,7748.0,2007-03-06,2006-10-06,2007-10-06,Dril-quip INC,0.5,324000.0,1.0,,cashShort,cashShort,Cash Award,,
