cik,fyear,at
61478,1998,1300.587
61478,1999,1672.529
61478,2000,3970.5
61478,2001,2499.7
61478,2002,1144.2
61478,2003,1296.9
61478,2004,1428.1
61478,2005,1535.0
61478,2006,1611.4
61478,2007,1764.8
61478,2008,1921.0
61478,2009,1343.6
61478,2010,1474.5
6201,1998,22303.0
6201,1999,24374.0
6201,2000,26213.0
6201,2001,32841.0
6201,2002,30267.0
6201,2003,29330.0
6201,2004,28773.0
6201,2005,29495.0
6201,2006,29145.0
6201,2007,28571.0
6201,2008,25175.0
6201,2009,25438.0
6201,2010,25088.0
6201,2011,23848.0
6201,2012,23510.0
6201,2013,42278.0
6201,2014,43771.0
6201,2015,48415.0
6201,2016,51274.0
6201,2017,51396.0
6201,2018,60580.0
6201,2019,59995.0
6201,2020,62008.0
6201,2021,66467.0
6201,2022,64716.0
6201,2023,63058.0
3197,1998,15.475
3197,1999,51.073
3197,2000,55.896
3197,2001,53.03
3197,2002,46.677
3197,2003,41.154
3197,2004,43.441
3197,2005,42.9
3197,2006,63.188
3197,2007,96.535
3197,2008,120.017
3197,2009,77.515
3197,2010,74.791
3197,2011,79.345
3197,2012,94.104
3197,2013,348.536
3197,2014,414.365
3197,2015,598.819
3197,2016,498.634
3197,2017,438.549
3197,2018,392.582
3197,2019,408.637
3197,2020,419.314
3197,2021,416.197
3197,2022,504.721
3197,2023,600.291
859163,1997,1048.653
859163,1998,1058.04
859163,1999,1308.331
859163,2000,1885.098
859163,2001,1691.599
859163,2002,1700.513
859163,2003,1667.877
859163,2004,1689.749
859163,2005,1675.208
859163,2006,1899.536
859163,2007,2109.078
859163,2008,1872.529
859163,2009,2051.492
859163,2010,2319.482
859163,2011,2468.012
859163,2012,2601.995
859163,2013,2384.988
859163,2014,2459.015
859163,2015,2409.819
859163,2016,2477.413
859163,2017,2672.766
859163,2018,2813.278
764622,1998,6824.546
764622,1999,6608.506
764622,2000,7149.151
764622,2001,7981.748
764622,2002,8425.806
764622,2003,9536.378
764622,2004,9896.747
764622,2005,11322.645
764622,2006,11455.943
764622,2007,11243.712
764622,2008,11620.093
764622,2009,11808.155
764622,2010,12362.703
764622,2011,13111.018
764622,2012,13379.615
764622,2013,13508.686
764622,2014,14313.532
764622,2015,15028.258
764622,2016,16004.253
764622,2017,17019.082
764622,2018,17664.202
764622,2019,18479.247
764622,2020,20020.421
764622,2021,22003.222
764622,2022,22723.405
764622,2023,24661.153
1800,1998,13216.213
1800,1999,14471.044
1800,2000,15283.254
1800,2001,23296.423
1800,2002,24259.102
1800,2003,26715.342
1800,2004,28767.494
1800,2005,29141.203
1800,2006,36178.172
1800,2007,39713.924
1800,2008,42419.204
1800,2009,52416.623
1800,2010,59462.266
1800,2011,60276.893
1800,2012,67234.944
1800,2013,42953.0
